terms,frequency
Datum,1.0
Seite,0.8067650496785506
Normdatei,0.7624196376388077
Wiki,0.7163208649912332
Geschichte,0.7104032729398013
Name,0.5549386323787259
Angabe,0.5422998246639392
Nummer,0.5415692577440093
Person,0.49612799532437174
Bild,0.4934979544126242
Art,0.39311805961426066
Adresse,0.36718293395675045
Organisation,0.36243424897720633
Stadtplan,0.3542518994739918
Text,0.3212302746931619
Beschreibung,0.3066189362945646
Navigation,0.30493863237872587
Stadt,0.2945645821157218
Benutzer,0.26862945645821157
Geburtsort,0.2669491525423729
Sterbeort,0.26446522501461134
Bezirk,0.2537258912916423
Geburt,0.2508036236119229
Bildunterschrift,0.24751607247223845
Quelle,0.24218293395675045
Hausnummer,0.23991817650496786
Bearbeite,0.2396259497369959
Gemeinsame Normdatei,0.2304208065458796
QID,0.2304208065458796
QID aus Wikidata,0.2304208065458796
Stadt Wien,0.22925189947399183
Ereignis,0.22895967270601988
Suche,0.20916130917592052
Jahr,0.19338106370543542
Sterbedatum,0.18439509059029807
Auszeichnung,0.1798655756867329
Friedhof,0.1777469316189363
Titel,0.17745470485096435
Datenschutz,0.1743863237872589
Ehrengrab,0.17416715371127994
Verleihung,0.173874926943308
Funktion,0.17182933956750437
Ort,0.17073348918760958
Inhalt,0.16883401519579194
Monat,0.1680303915838691
Vorname,0.1673728813559322
Format,0.16722676797194624
GND Geburtsort,0.16671537112799534
GND Sterbeort,0.16671537112799534
Bearbeite Person,0.16671537112799534
Diskussion,0.16167445938047925
Leitfaden,0.15729105786090006
Impressum,0.15582992402104032
Adressierung,0.1553185271770894
Bauwerke,0.15027761542957335
Sonstiges,0.14910870835768555
Projekt,0.14801285797779076
Beitrag,0.14713617767387493
Erinnern,0.146843950905903
Service,0.14655172413793102
Abgerufen,0.14640561075394506
Link,0.14611338398597312
Startseite,0.14604032729398012
Anmelden,0.14596727060198714
Zitierregeln,0.14560198714202222
Themenschwerpunkte,0.14560198714202222
Spezialseiten,0.14560198714202222
Mitmachen,0.14560198714202222
Service der Stadt Wien,0.14560198714202222
Versionsgeschichte,0.14370251315020455
Gruppe,0.13661601402688486
Grund,0.13617767387492694
Aktion,0.13391291642314437
Hochladen,0.1277030976037405
Anzeige,0.12704558737580363
Haupttext,0.12346580946814728
Bezug,0.12331969608416131
Datei,0.12185856224430158
Bearbeitung,0.12163939216832262
Abbrechen,0.12017825832846289
Administratoren,0.1201052016364699
Anordnung,0.12003214494447692
Dateiendung,0.11981297486849796
Bildanordnung,0.11981297486849796
Anmerkung,0.11981297486849796
Verwandtschaftsgrad,0.11667153711279954
Normdaten,0.1152104032729398
Beschreibung aus Wikidata,0.1152104032729398
Darstellung,0.1108270017533606
Familie,0.10951198129748685
Geburtsdatum,0.10629748684979544
Geschlecht,0.1005260081823495
Beruf,0.09906487434248977
Quelltext,0.09811513734658095
Beziehung,0.09796902396259498
Personenname,0.0973115137346581
Stelle,0.09256282875511397
Grabstelle,0.09212448860315604
Sterbeadresse,0.09044418468731735
Abweichende Namensform,0.09007890122735243
Namensform,0.09007890122735243
April,0.09000584453535944
Bestattungsdatum,0.0897136177673875
Personendaten,0.0897136177673875
Bestattung,0.0897136177673875
Trennung,0.08708357685563997
Strichpunkt,0.08686440677966102
Institution,0.08496493278784337
Denkmal,0.08489187609585037
Verbindung,0.0842343658679135
Partei,0.08416130917592052
Grab,0.08408825248392753
Religionsgemeinschaft,0.08401519579193455
Geburtsjahr,0.08335768556399767
Denkmals,0.08335768556399767
Denkmals der Person,0.08335768556399767
Amtstitel,0.08335768556399767
Datum der Bestattung,0.08335768556399767
Namensformen,0.08335768556399767
PolitikerInnen,0.08335768556399767
Adelstitel,0.08335768556399767
Verlinkung,0.08335768556399767
Artikel,0.07977790765634132
Antrag,0.07919345412039742
Koordinaten,0.07575978959672706
Eintrag,0.07466393921683226
Vorlage,0.0711572180011689
Form,0.07086499123319696
Schule,0.0662624196376388
Jahreszahl,0.06509351256575102
Bezeichnung,0.058080070134424316
Reiter,0.04821741671537113
Bearbeite Organisation,0.046610169491525424
Information,0.04485680888369375
Uhr,0.04222676797194623
Mehrfachnennungen,0.04156925774400935
Kultur,0.0412770309760374
Hierunter,0.038062536528346
Kulturgut,0.03777030976037405
Liste,0.0363822326125073
Identadressen,0.03397136177673875
Auswahl,0.0331677381648159
Nennung,0.03302162478082992
Namensgeber,0.03272939801285798
Organisationsdaten,0.03265634132086499
Aktuelle Adresse,0.03185271770894214
Form der Schule,0.03185271770894214
Organisationbefindet,0.03185271770894214
Namensgeber der Organisation Bauwerks,0.03185271770894214
Art von Organisation,0.03185271770894214
Organisationsbezeichnungen,0.03185271770894214
Organisation Bauwerks,0.03185271770894214
Amt,0.02907656341320865
Version,0.02754237288135593
Virtuelles Amt,0.02732320280537697
Abfrage,0.026665692577440094
Formular,0.025423728813559324
Lexikon,0.024985388661601403
